Work,Constant,HusbandInc,EducYears,ExpYears,ExpYears2,Age,NSmallChild,NBigChild
1.00E+00,1.00E+00,2.24E+01,1.20E+01,7.00E+00,4.90E-01,4.30E+01,0.00E+00,3.00E+00
0.00E+00,1.00E+00,7.23E+00,8.00E+00,1.00E+01,1.00E+00,3.40E+01,0.00E+00,7.00E+00
1.00E+00,1.00E+00,1.83E+01,1.20E+01,4.00E+00,1.60E-01,4.10E+01,1.00E+00,5.00E+00
0.00E+00,1.00E+00,2.81E+01,1.40E+01,2.00E+00,4.00E-02,4.30E+01,0.00E+00,2.00E+00
1.00E+00,1.00E+00,2.38E+01,1.20E+01,2.40E+01,5.76E+00,4.50E+01,0.00E+00,1.00E+00
0.00E+00,1.00E+00,9.60E+01,1.70E+01,1.00E+00,1.00E-02,3.40E+01,1.00E+00,2.00E+00
0.00E+00,1.00E+00,3.73E+01,1.20E+01,1.30E+01,1.69E+00,4.50E+01,0.00E+00,2.00E+00
0.00E+00,1.00E+00,2.18E+01,1.40E+01,1.50E+01,2.25E+00,3.60E+01,1.00E+00,0.00E+00
1.00E+00,1.00E+00,7.80E+00,1.20E+01,1.00E+01,1.00E+00,3.10E+01,0.00E+00,1.00E+00
0.00E+00,1.00E+00,2.86E+01,1.60E+01,6.00E+00,3.60E-01,3.70E+01,0.00E+00,3.00E+00
0.00E+00,1.00E+00,2.28E+01,1.20E+01,1.20E+01,1.44E+00,3.00E+01,1.00E+00,0.00E+00
1.00E+00,1.00E+00,1.72E+01,1.20E+01,1.90E+01,3.61E+00,3.80E+01,0.00E+00,0.00E+00
0.00E+00,1.00E+00,1.31E+01,1.20E+01,1.70E+01,2.89E+00,4.30E+01,1.00E+00,1.00E+00
0.00E+00,1.00E+00,6.00E+00,1.20E+01,0.00E+00,0.00E+00,3.50E+01,1.00E+00,3.00E+00
0.00E+00,1.00E+00,1.61E+01,1.70E+01,1.00E+01,1.00E+00,3.00E+01,2.00E+00,0.00E+00
1.00E+00,1.00E+00,1.33E+01,1.20E+01,1.90E+01,3.61E+00,5.40E+01,0.00E+00,0.00E+00
1.00E+00,1.00E+00,2.32E+01,1.20E+01,8.00E+00,6.40E-01,4.00E+01,0.00E+00,1.00E+00
1.00E+00,1.00E+00,1.05E+01,1.30E+01,3.60E+01,1.30E+01,5.90E+01,0.00E+00,0.00E+00
1.00E+00,1.00E+00,2.57E+01,1.20E+01,9.00E+00,8.10E-01,4.70E+01,0.00E+00,1.00E+00
0.00E+00,1.00E+00,2.11E+01,1.20E+01,2.00E+01,4.00E+00,4.70E+01,0.00E+00,0.00E+00
0.00E+00,1.00E+00,1.16E+01,1.20E+01,7.00E+00,4.90E-01,3.20E+01,1.00E+00,1.00E+00
0.00E+00,1.00E+00,6.34E+00,5.00E+00,0.00E+00,0.00E+00,5.70E+01,0.00E+00,0.00E+00
0.00E+00,1.00E+00,1.06E+01,1.20E+01,0.00E+00,0.00E+00,5.60E+01,0.00E+00,0.00E+00
1.00E+00,1.00E+00,2.50E+01,1.00E+01,1.30E+01,1.69E+00,4.30E+01,0.00E+00,1.00E+00
1.00E+00,1.00E+00,1.82E+01,1.20E+01,1.40E+01,1.96E+00,4.30E+01,0.00E+00,1.00E+00
0.00E+00,1.00E+00,8.10E+00,1.20E+01,7.00E+00,4.90E-01,3.00E+01,1.00E+00,2.00E+00
1.00E+00,1.00E+00,2.60E+01,1.30E+01,1.50E+01,2.25E+00,3.40E+01,0.00E+00,1.00E+00
1.00E+00,1.00E+00,2.35E+01,1.60E+01,7.00E+00,4.90E-01,3.50E+01,1.00E+00,2.00E+00
1.00E+00,1.00E+00,2.23E+01,1.00E+01,8.00E+00,6.40E-01,4.70E+01,0.00E+00,0.00E+00
0.00E+00,1.00E+00,2.09E+01,1.60E+01,8.00E+00,6.40E-01,4.40E+01,0.00E+00,2.00E+00
1.00E+00,1.00E+00,4.40E+01,1.40E+01,1.50E+01,2.25E+00,4.60E+01,0.00E+00,0.00E+00
1.00E+00,1.00E+00,1.72E+01,1.60E+01,8.00E+00,6.40E-01,3.40E+01,0.00E+00,2.00E+00
1.00E+00,1.00E+00,1.79E+01,1.20E+01,6.00E+00,3.60E-01,4.00E+01,0.00E+00,2.00E+00
0.00E+00,1.00E+00,7.04E+00,9.00E+00,0.00E+00,0.00E+00,3.40E+01,0.00E+00,1.00E+00
1.00E+00,1.00E+00,3.46E+01,1.30E+01,1.90E+01,3.61E+00,5.40E+01,0.00E+00,3.00E+00
0.00E+00,1.00E+00,9.09E+00,1.20E+01,1.00E+00,1.00E-02,3.60E+01,0.00E+00,2.00E+00
0.00E+00,1.00E+00,2.05E+01,9.00E+00,0.00E+00,0.00E+00,3.60E+01,1.00E+00,1.00E+00
1.00E+00,1.00E+00,3.08E+01,1.00E+01,2.70E+01,7.29E+00,4.80E+01,0.00E+00,0.00E+00
1.00E+00,1.00E+00,1.82E+01,1.60E+01,1.60E+01,2.56E+00,5.40E+01,0.00E+00,0.00E+00
0.00E+00,1.00E+00,8.12E+00,1.20E+01,1.80E+01,3.24E+00,5.10E+01,0.00E+00,0.00E+00
1.00E+00,1.00E+00,3.20E+01,1.70E+01,1.00E+01,1.00E+00,3.80E+01,0.00E+00,2.00E+00
0.00E+00,1.00E+00,2.14E+01,1.20E+01,7.00E+00,4.90E-01,4.40E+01,0.00E+00,3.00E+00
0.00E+00,1.00E+00,1.47E+01,1.20E+01,3.00E+00,9.00E-02,3.00E+01,0.00E+00,0.00E+00
1.00E+00,1.00E+00,5.25E+01,1.30E+01,2.50E+01,6.25E+00,4.50E+01,0.00E+00,1.00E+00
1.00E+00,1.00E+00,2.72E+01,9.00E+00,1.10E+01,1.21E+00,5.30E+01,0.00E+00,0.00E+00
1.00E+00,1.00E+00,1.07E+01,1.20E+01,2.10E+01,4.41E+00,5.10E+01,0.00E+00,0.00E+00
1.00E+00,1.00E+00,1.95E+01,1.20E+01,5.00E+00,2.50E-01,3.00E+01,0.00E+00,2.00E+00
1.00E+00,1.00E+00,3.12E+01,1.30E+01,4.00E+00,1.60E-01,3.30E+01,0.00E+00,3.00E+00
1.00E+00,1.00E+00,9.05E+00,9.00E+00,1.00E+00,1.00E-02,3.40E+01,0.00E+00,4.00E+00
0.00E+00,1.00E+00,1.66E+01,1.20E+01,8.00E+00,6.40E-01,3.20E+01,0.00E+00,3.00E+00
1.00E+00,1.00E+00,2.80E+01,1.20E+01,1.90E+01,3.61E+00,3.70E+01,0.00E+00,3.00E+00
0.00E+00,1.00E+00,6.32E+01,1.60E+01,2.20E+01,4.84E+00,5.00E+01,0.00E+00,0.00E+00
1.00E+00,1.00E+00,2.37E+01,1.60E+01,4.00E+00,1.60E-01,4.50E+01,0.00E+00,3.00E+00
0.00E+00,1.00E+00,2.35E+01,1.20E+01,5.00E+00,2.50E-01,3.30E+01,1.00E+00,3.00E+00
1.00E+00,1.00E+00,1.72E+01,1.20E+01,2.00E+00,4.00E-02,3.20E+01,0.00E+00,1.00E+00
1.00E+00,1.00E+00,2.25E+01,1.60E+01,6.00E+00,3.60E-01,3.10E+01,1.00E+00,2.00E+00
0.00E+00,1.00E+00,2.20E+01,1.20E+01,0.00E+00,0.00E+00,4.50E+01,0.00E+00,0.00E+00
0.00E+00,1.00E+00,3.73E+01,1.70E+01,4.00E+00,1.60E-01,3.80E+01,0.00E+00,2.00E+00
0.00E+00,1.00E+00,1.85E+01,1.20E+01,7.00E+00,4.90E-01,3.30E+01,2.00E+00,0.00E+00
1.00E+00,1.00E+00,2.37E+01,1.10E+01,9.00E+00,8.10E-01,3.90E+01,0.00E+00,1.00E+00
1.00E+00,1.00E+00,1.11E+01,1.20E+01,1.90E+01,3.61E+00,3.60E+01,0.00E+00,1.00E+00
0.00E+00,1.00E+00,2.84E+01,9.00E+00,1.20E+01,1.44E+00,3.90E+01,0.00E+00,3.00E+00
1.00E+00,1.00E+00,1.30E+01,1.50E+01,1.60E+01,2.56E+00,4.50E+01,0.00E+00,1.00E+00
1.00E+00,1.00E+00,1.47E+01,1.20E+01,1.60E+01,2.56E+00,4.70E+01,0.00E+00,1.00E+00
1.00E+00,1.00E+00,2.10E+01,1.70E+01,2.90E+01,8.41E+00,5.40E+01,0.00E+00,1.00E+00
0.00E+00,1.00E+00,1.82E+01,1.20E+01,3.00E+00,9.00E-02,4.90E+01,0.00E+00,0.00E+00
0.00E+00,1.00E+00,1.10E+01,7.00E+00,2.00E+00,4.00E-02,4.90E+01,0.00E+00,1.00E+00
1.00E+00,1.00E+00,1.71E+01,1.20E+01,1.10E+01,1.21E+00,3.30E+01,2.00E+00,0.00E+00
0.00E+00,1.00E+00,1.92E+01,1.20E+01,2.30E+01,5.29E+00,5.20E+01,0.00E+00,0.00E+00
0.00E+00,1.00E+00,2.00E+01,1.50E+01,6.00E+00,3.60E-01,5.40E+01,0.00E+00,0.00E+00
0.00E+00,1.00E+00,1.82E+01,1.20E+01,1.00E+00,1.00E-02,4.70E+01,0.00E+00,1.00E+00
1.00E+00,1.00E+00,2.51E+01,1.70E+01,8.00E+00,6.40E-01,4.00E+01,1.00E+00,2.00E+00
1.00E+00,1.00E+00,7.07E+01,1.60E+01,1.10E+01,1.21E+00,4.80E+01,0.00E+00,1.00E+00
0.00E+00,1.00E+00,3.39E+01,1.40E+01,1.00E+01,1.00E+00,5.40E+01,0.00E+00,0.00E+00
0.00E+00,1.00E+00,1.34E+01,1.20E+01,1.00E+01,1.00E+00,4.70E+01,0.00E+00,0.00E+00
1.00E+00,1.00E+00,1.56E+01,1.00E+01,1.00E+01,1.00E+00,3.00E+01,0.00E+00,1.00E+00
1.00E+00,1.00E+00,1.33E+01,1.20E+01,1.80E+01,3.24E+00,4.70E+01,0.00E+00,0.00E+00
0.00E+00,1.00E+00,2.89E+01,1.60E+01,8.00E+00,6.40E-01,4.80E+01,0.00E+00,1.00E+00
1.00E+00,1.00E+00,6.49E+00,1.60E+01,2.50E+01,6.25E+00,5.40E+01,0.00E+00,0.00E+00
1.00E+00,1.00E+00,2.06E+01,1.40E+01,1.20E+01,1.44E+00,3.00E+01,0.00E+00,0.00E+00
0.00E+00,1.00E+00,1.74E+01,9.00E+00,1.00E+01,1.00E+00,3.70E+01,1.00E+00,3.00E+00
0.00E+00,1.00E+00,1.45E+01,1.20E+01,8.00E+00,6.40E-01,3.20E+01,1.00E+00,1.00E+00
1.00E+00,1.00E+00,1.61E+01,1.60E+01,1.10E+01,1.21E+00,5.40E+01,0.00E+00,1.00E+00
1.00E+00,1.00E+00,3.49E+01,1.20E+01,3.00E+00,9.00E-02,5.40E+01,0.00E+00,0.00E+00
0.00E+00,1.00E+00,6.00E+00,1.20E+01,5.00E+00,2.50E-01,3.60E+01,0.00E+00,2.00E+00
1.00E+00,1.00E+00,2.60E+01,1.60E+01,3.10E+01,9.61E+00,5.90E+01,0.00E+00,0.00E+00
1.00E+00,1.00E+00,1.82E+01,1.00E+01,2.00E+00,4.00E-02,3.60E+01,0.00E+00,5.00E+00
1.00E+00,1.00E+00,9.02E+00,1.00E+01,1.00E+00,1.00E-02,3.20E+01,0.00E+00,2.00E+00
0.00E+00,1.00E+00,2.51E+01,1.20E+01,0.00E+00,0.00E+00,3.00E+01,1.00E+00,1.00E+00
0.00E+00,1.00E+00,4.53E+01,1.40E+01,7.00E+00,4.90E-01,3.10E+01,1.00E+00,2.00E+00
1.00E+00,1.00E+00,1.70E+01,1.50E+01,1.10E+01,1.21E+00,3.30E+01,1.00E+00,1.00E+00
1.00E+00,1.00E+00,1.78E+01,1.20E+01,9.00E+00,8.10E-01,4.50E+01,0.00E+00,2.00E+00
1.00E+00,1.00E+00,1.55E+01,1.20E+01,1.10E+01,1.21E+00,3.40E+01,0.00E+00,0.00E+00
0.00E+00,1.00E+00,1.20E+01,1.20E+01,1.00E+00,1.00E-02,3.00E+01,0.00E+00,3.00E+00
0.00E+00,1.00E+00,8.00E+00,1.20E+01,1.00E+00,1.00E-02,4.90E+01,0.00E+00,0.00E+00
1.00E+00,1.00E+00,1.51E+01,1.10E+01,4.00E+00,1.60E-01,3.20E+01,0.00E+00,1.00E+00
0.00E+00,1.00E+00,1.06E+01,8.00E+00,2.00E+00,4.00E-02,5.80E+01,0.00E+00,0.00E+00
1.00E+00,1.00E+00,2.61E+01,1.20E+01,1.40E+01,1.96E+00,4.70E+01,0.00E+00,0.00E+00
0.00E+00,1.00E+00,3.40E+01,1.20E+01,8.00E+00,6.40E-01,3.70E+01,0.00E+00,1.00E+00
0.00E+00,1.00E+00,1.21E+01,1.20E+01,3.00E+00,9.00E-02,3.10E+01,1.00E+00,0.00E+00
1.00E+00,1.00E+00,1.40E+01,1.20E+01,1.60E+01,2.56E+00,3.40E+01,0.00E+00,1.00E+00
1.00E+00,1.00E+00,2.47E+01,1.40E+01,6.00E+00,3.60E-01,5.60E+01,0.00E+00,0.00E+00
0.00E+00,1.00E+00,2.28E+01,1.20E+01,9.00E+00,8.10E-01,3.60E+01,0.00E+00,2.00E+00
0.00E+00,1.00E+00,1.40E+01,1.20E+01,2.50E+01,6.25E+00,4.30E+01,0.00E+00,1.00E+00
1.00E+00,1.00E+00,6.02E+00,1.30E+01,1.10E+01,1.21E+00,4.90E+01,0.00E+00,1.00E+00
0.00E+00,1.00E+00,1.21E+01,1.20E+01,9.00E+00,8.10E-01,3.00E+01,2.00E+00,0.00E+00
0.00E+00,1.00E+00,2.33E+01,1.20E+01,4.00E+00,1.60E-01,4.60E+01,0.00E+00,0.00E+00
0.00E+00,1.00E+00,5.10E+01,1.60E+01,1.00E+00,1.00E-02,4.10E+01,0.00E+00,2.00E+00
0.00E+00,1.00E+00,1.84E+01,1.00E+01,0.00E+00,0.00E+00,4.20E+01,0.00E+00,2.00E+00
1.00E+00,1.00E+00,1.28E+01,1.20E+01,2.20E+01,4.84E+00,4.50E+01,0.00E+00,1.00E+00
1.00E+00,1.00E+00,4.66E+01,1.20E+01,1.20E+01,1.44E+00,4.70E+01,0.00E+00,0.00E+00
0.00E+00,1.00E+00,3.17E+01,1.30E+01,6.00E+00,3.60E-01,4.20E+01,0.00E+00,1.00E+00
0.00E+00,1.00E+00,1.21E+01,8.00E+00,1.00E+00,1.00E-02,5.10E+01,0.00E+00,0.00E+00
0.00E+00,1.00E+00,1.75E+01,1.20E+01,2.40E+01,5.76E+00,5.30E+01,0.00E+00,1.00E+00
1.00E+00,1.00E+00,9.56E+00,1.20E+01,1.50E+01,2.25E+00,4.50E+01,0.00E+00,0.00E+00
1.00E+00,1.00E+00,4.14E+01,1.60E+01,9.00E+00,8.10E-01,4.70E+01,0.00E+00,1.00E+00
0.00E+00,1.00E+00,1.00E+01,7.00E+00,2.00E+01,4.00E+00,5.40E+01,0.00E+00,0.00E+00
1.00E+00,1.00E+00,1.34E+01,7.00E+00,1.30E+01,1.69E+00,4.80E+01,0.00E+00,3.00E+00
1.00E+00,1.00E+00,1.98E+01,1.70E+01,7.00E+00,4.90E-01,3.40E+01,1.00E+00,1.00E+00
1.00E+00,1.00E+00,2.80E+01,1.20E+01,2.30E+01,5.29E+00,4.60E+01,0.00E+00,0.00E+00
1.00E+00,1.00E+00,2.88E+01,1.20E+01,2.40E+01,5.76E+00,5.20E+01,0.00E+00,0.00E+00
1.00E+00,1.00E+00,1.05E+01,8.00E+00,1.10E+01,1.21E+00,4.80E+01,0.00E+00,0.00E+00
0.00E+00,1.00E+00,8.63E+00,1.20E+01,0.00E+00,0.00E+00,4.90E+01,0.00E+00,0.00E+00
1.00E+00,1.00E+00,9.50E+00,8.00E+00,1.70E+01,2.89E+00,5.20E+01,0.00E+00,0.00E+00
0.00E+00,1.00E+00,1.12E+01,1.20E+01,0.00E+00,0.00E+00,5.00E+01,0.00E+00,0.00E+00
0.00E+00,1.00E+00,1.34E+01,1.20E+01,8.00E+00,6.40E-01,4.90E+01,0.00E+00,1.00E+00
1.00E+00,1.00E+00,9.47E+00,1.30E+01,2.00E+00,4.00E-02,3.10E+01,0.00E+00,1.00E+00
0.00E+00,1.00E+00,1.45E+01,1.20E+01,1.80E+01,3.24E+00,5.40E+01,0.00E+00,2.00E+00
1.00E+00,1.00E+00,1.00E+01,1.10E+01,4.00E+00,1.60E-01,3.70E+01,0.00E+00,3.00E+00
1.00E+00,1.00E+00,1.10E+01,1.40E+01,1.10E+01,1.21E+00,3.20E+01,0.00E+00,0.00E+00
1.00E+00,1.00E+00,1.37E+01,1.20E+01,2.70E+01,7.29E+00,5.10E+01,0.00E+00,1.00E+00
1.00E+00,1.00E+00,1.37E+01,1.40E+01,1.20E+01,1.44E+00,3.00E+01,2.00E+00,1.00E+00
0.00E+00,1.00E+00,2.03E+01,1.20E+01,5.00E+00,2.50E-01,4.40E+01,0.00E+00,1.00E+00
1.00E+00,1.00E+00,6.80E+00,1.20E+01,6.00E+00,3.60E-01,3.40E+01,0.00E+00,3.00E+00
1.00E+00,1.00E+00,1.27E+01,1.10E+01,1.90E+01,3.61E+00,3.70E+01,0.00E+00,3.00E+00
1.00E+00,1.00E+00,1.75E+01,1.30E+01,1.80E+01,3.24E+00,4.80E+01,0.00E+00,0.00E+00
1.00E+00,1.00E+00,1.95E+01,1.70E+01,2.80E+01,7.84E+00,4.90E+01,0.00E+00,0.00E+00
0.00E+00,1.00E+00,1.58E+01,9.00E+00,3.00E+00,9.00E-02,4.20E+01,0.00E+00,2.00E+00
1.00E+00,1.00E+00,1.85E+01,1.20E+01,1.40E+01,1.96E+00,3.20E+01,0.00E+00,0.00E+00
1.00E+00,1.00E+00,1.92E+01,1.20E+01,1.00E+01,1.00E+00,3.40E+01,0.00E+00,2.00E+00
0.00E+00,1.00E+00,2.10E+01,1.20E+01,6.00E+00,3.60E-01,5.10E+01,0.00E+00,1.00E+00
1.00E+00,1.00E+00,3.30E+01,1.70E+01,1.20E+01,1.44E+00,5.00E+01,0.00E+00,1.00E+00
1.00E+00,1.00E+00,1.44E+01,1.60E+01,1.40E+01,1.96E+00,4.30E+01,1.00E+00,0.00E+00
1.00E+00,1.00E+00,9.65E+00,1.10E+01,2.00E+00,4.00E-02,4.10E+01,0.00E+00,2.00E+00
1.00E+00,1.00E+00,1.39E+01,7.00E+00,1.50E+01,2.25E+00,4.30E+01,0.00E+00,3.00E+00
1.00E+00,1.00E+00,9.62E+00,1.10E+01,2.30E+01,5.29E+00,4.10E+01,0.00E+00,0.00E+00
1.00E+00,1.00E+00,3.23E+01,1.20E+01,6.00E+00,3.60E-01,5.80E+01,0.00E+00,0.00E+00
1.00E+00,1.00E+00,8.27E+00,1.20E+01,4.00E+00,1.60E-01,3.10E+01,1.00E+00,1.00E+00
1.00E+00,1.00E+00,3.67E+00,1.20E+01,2.60E+01,6.76E+00,5.20E+01,0.00E+00,0.00E+00
0.00E+00,1.00E+00,5.03E+01,1.50E+01,1.00E+00,1.00E-02,3.20E+01,1.00E+00,1.00E+00
0.00E+00,1.00E+00,1.74E+01,1.20E+01,8.00E+00,6.40E-01,4.30E+01,1.00E+00,2.00E+00
0.00E+00,1.00E+00,2.17E+01,1.20E+01,1.20E+01,1.44E+00,4.50E+01,0.00E+00,1.00E+00
1.00E+00,1.00E+00,1.80E+01,9.00E+00,1.30E+01,1.69E+00,3.10E+01,0.00E+00,3.00E+00
1.00E+00,1.00E+00,2.08E+01,1.70E+01,1.00E+01,1.00E+00,3.40E+01,0.00E+00,0.00E+00
0.00E+00,1.00E+00,3.25E+01,1.20E+01,6.00E+00,3.60E-01,4.70E+01,0.00E+00,2.00E+00
1.00E+00,1.00E+00,1.16E+01,6.00E+00,3.70E+01,1.37E+01,5.50E+01,0.00E+00,0.00E+00
0.00E+00,1.00E+00,1.88E+01,1.00E+01,1.00E+01,1.00E+00,5.10E+01,0.00E+00,1.00E+00
0.00E+00,1.00E+00,2.20E+01,1.00E+01,3.00E+00,9.00E-02,4.80E+01,0.00E+00,1.00E+00
0.00E+00,1.00E+00,2.90E+01,1.60E+01,1.10E+01,1.21E+00,3.30E+01,1.00E+00,1.00E+00
0.00E+00,1.00E+00,2.57E+01,1.60E+01,5.00E+00,2.50E-01,3.00E+01,1.00E+00,1.00E+00
0.00E+00,1.00E+00,1.80E+01,1.40E+01,3.00E+00,9.00E-02,3.50E+01,1.00E+00,2.00E+00
1.00E+00,1.00E+00,3.29E+01,1.20E+01,9.00E+00,8.10E-01,4.00E+01,0.00E+00,1.00E+00
1.00E+00,1.00E+00,3.27E+01,1.70E+01,6.00E+00,3.60E-01,4.70E+01,0.00E+00,0.00E+00
0.00E+00,1.00E+00,4.75E+01,1.20E+01,4.00E+00,1.60E-01,3.20E+01,1.00E+00,3.00E+00
1.00E+00,1.00E+00,7.20E+00,8.00E+00,2.00E+00,4.00E-02,3.00E+01,1.00E+00,5.00E+00
1.00E+00,1.00E+00,1.71E+01,1.60E+01,1.50E+01,2.25E+00,3.70E+01,0.00E+00,0.00E+00
1.00E+00,1.00E+00,1.08E+01,1.20E+01,2.40E+01,5.76E+00,4.50E+01,0.00E+00,0.00E+00
0.00E+00,1.00E+00,3.15E+01,1.70E+01,2.00E+00,4.00E-02,4.80E+01,0.00E+00,1.00E+00
1.00E+00,1.00E+00,1.35E+01,1.20E+01,2.30E+01,5.29E+00,4.50E+01,0.00E+00,0.00E+00
0.00E+00,1.00E+00,3.00E+01,1.00E+01,1.00E+00,1.00E-02,4.50E+01,0.00E+00,0.00E+00
1.00E+00,1.00E+00,2.05E+01,1.20E+01,1.40E+01,1.96E+00,5.40E+01,0.00E+00,0.00E+00
1.00E+00,1.00E+00,5.13E+01,1.70E+01,1.70E+01,2.89E+00,4.40E+01,0.00E+00,1.00E+00
0.00E+00,1.00E+00,2.26E+01,1.20E+01,1.30E+01,1.69E+00,5.40E+01,0.00E+00,2.00E+00
0.00E+00,1.00E+00,1.80E+01,1.10E+01,1.00E+01,1.00E+00,4.80E+01,0.00E+00,1.00E+00
0.00E+00,1.00E+00,3.39E+01,1.20E+01,3.00E+00,9.00E-02,4.00E+01,1.00E+00,3.00E+00
1.00E+00,1.00E+00,2.56E+01,1.20E+01,1.20E+01,1.44E+00,3.20E+01,0.00E+00,1.00E+00
0.00E+00,1.00E+00,1.35E+01,1.20E+01,1.40E+01,1.96E+00,4.70E+01,0.00E+00,3.00E+00
0.00E+00,1.00E+00,1.89E+01,1.40E+01,1.00E+01,1.00E+00,4.40E+01,2.00E+00,3.00E+00
0.00E+00,1.00E+00,5.00E+00,1.20E+01,1.00E+01,1.00E+00,3.40E+01,2.00E+00,3.00E+00
1.00E+00,1.00E+00,2.36E+01,1.70E+01,9.00E+00,8.10E-01,3.60E+01,0.00E+00,2.00E+00
0.00E+00,1.00E+00,1.19E+01,9.00E+00,1.70E+01,2.89E+00,4.30E+01,0.00E+00,0.00E+00
0.00E+00,1.00E+00,1.94E+01,8.00E+00,0.00E+00,0.00E+00,4.60E+01,0.00E+00,4.00E+00
1.00E+00,1.00E+00,1.12E+01,1.00E+01,1.00E+00,1.00E-02,3.60E+01,1.00E+00,2.00E+00
0.00E+00,1.00E+00,1.65E+01,1.20E+01,7.00E+00,4.90E-01,5.90E+01,0.00E+00,0.00E+00
0.00E+00,1.00E+00,1.89E+01,1.20E+01,1.50E+01,2.25E+00,4.40E+01,0.00E+00,4.00E+00
0.00E+00,1.00E+00,2.50E+01,1.20E+01,1.00E+01,1.00E+00,4.70E+01,0.00E+00,0.00E+00
1.00E+00,1.00E+00,1.09E+01,1.20E+01,1.40E+01,1.96E+00,3.20E+01,1.00E+00,0.00E+00
0.00E+00,1.00E+00,8.01E+00,1.00E+01,2.00E+00,4.00E-02,3.30E+01,1.00E+00,2.00E+00
0.00E+00,1.00E+00,2.79E+01,1.30E+01,1.50E+01,2.25E+00,4.30E+01,1.00E+00,1.00E+00
0.00E+00,1.00E+00,2.18E+01,1.20E+01,4.00E+00,1.60E-01,4.30E+01,0.00E+00,5.00E+00
1.00E+00,1.00E+00,2.51E+01,1.20E+01,9.00E+00,8.10E-01,4.30E+01,0.00E+00,3.00E+00
1.00E+00,1.00E+00,2.78E+01,1.70E+01,8.00E+00,6.40E-01,5.40E+01,0.00E+00,0.00E+00
0.00E+00,1.00E+00,2.02E+01,1.30E+01,7.00E+00,4.90E-01,5.30E+01,0.00E+00,0.00E+00
0.00E+00,1.00E+00,4.23E+01,1.20E+01,3.00E+00,9.00E-02,3.00E+01,1.00E+00,1.00E+00
0.00E+00,1.00E+00,7.36E+01,1.30E+01,3.00E+00,9.00E-02,3.10E+01,3.00E+00,1.00E+00
0.00E+00,1.00E+00,3.07E+01,1.20E+01,0.00E+00,0.00E+00,4.60E+01,1.00E+00,4.00E+00
1.00E+00,1.00E+00,2.82E+01,1.70E+01,2.00E+00,4.00E-02,3.40E+01,1.00E+00,2.00E+00
0.00E+00,1.00E+00,1.34E+01,1.20E+01,3.00E+00,9.00E-02,4.40E+01,0.00E+00,1.00E+00
0.00E+00,1.00E+00,1.46E+01,1.20E+01,1.50E+01,2.25E+00,4.30E+01,0.00E+00,2.00E+00
0.00E+00,1.00E+00,1.26E+01,1.00E+01,7.00E+00,4.90E-01,4.70E+01,0.00E+00,0.00E+00
