"region","type of household","age","2016"
"19 Västmanland county","single without children","30-49 years",257.7
"19 Västmanland county","single without children","50-64 years",272.3
"19 Västmanland county","single women without children","18-29 years",185.5
"19 Västmanland county","single women without children","30-49 years",241.3
"19 Västmanland county","single women without children","50-64 years",247.5
"19 Västmanland county","single men without children","18-29 years",205.6
"19 Västmanland county","single men without children","30-49 years",265.5
"19 Västmanland county","single men without children","50-64 years",293.5
"19 Västmanland county","single with children aged 0-19","18-29 years",234.3
"19 Västmanland county","single with children aged 0-19","30-49 years",329.5
"19 Västmanland county","single with children aged 0-19","50-64 years",364.3
"19 Västmanland county","single women with children aged 0-19","18-29 years",214.2
"19 Västmanland county","single women with children aged 0-19","30-49 years",312.3
"19 Västmanland county","single women with children aged 0-19","50-64 years",343.2
"19 Västmanland county","single men with children aged 0-19","18-29 years",362.4
"19 Västmanland county","single men with children aged 0-19","30-49 years",390.1
"19 Västmanland county","single men with children aged 0-19","50-64 years",406.4
"19 Västmanland county","single with adult children aged 20-29","18-29 years",428.5
"19 Västmanland county","single with adult children aged 20-29","30-49 years",430.7
"19 Västmanland county","single with adult children aged 20-29","50-64 years",448.8
"19 Västmanland county","single women with adult children aged 20-29","18-29 years",359.0
"19 Västmanland county","single women with adult children aged 20-29","30-49 years",418.1
"19 Västmanland county","single women with adult children aged 20-29","50-64 years",420.8
"19 Västmanland county","single men with adult children aged 20-29","18-29 years",450.6
"19 Västmanland county","single men with adult children aged 20-29","30-49 years",463.5
"19 Västmanland county","single men with adult children aged 20-29","50-64 years",499.4
"19 Västmanland county","cohabiting without children","18-29 years",453.0
"19 Västmanland county","cohabiting without children","30-49 years",566.2
"19 Västmanland county","cohabiting without children","50-64 years",613.7
"19 Västmanland county","cohabiting with children aged 0-19","18-29 years",461.6
"19 Västmanland county","cohabiting with children aged 0-19","30-49 years",636.4
"19 Västmanland county","cohabiting with children aged 0-19","50-64 years",736.0
"19 Västmanland county","cohabiting with adult children aged 20-29","18-29 years",710.6
"19 Västmanland county","cohabiting with adult children aged 20-29","30-49 years",777.9
"19 Västmanland county","cohabiting with adult children aged 20-29","50-64 years",835.5
"19 Västmanland county","other households without children","18-29 years",467.9
"19 Västmanland county","other households without children","30-49 years",544.1
"19 Västmanland county","other households without children","50-64 years",625.9
"19 Västmanland county","other households with children aged 0-19","18-29 years",581.1
"19 Västmanland county","other households with children aged 0-19","30-49 years",830.8
"19 Västmanland county","other households with children aged 0-19","50-64 years",803.0
"20 Dalarna county","all households","18-29 years",307.5
"20 Dalarna county","all households","30-49 years",468.7
"20 Dalarna county","all households","50-64 years",482.1
"20 Dalarna county","single without children","18-29 years",188.8
"20 Dalarna county","single without children","30-49 years",242.1
"20 Dalarna county","single without children","50-64 years",252.8
"20 Dalarna county","single women without children","18-29 years",175.8
"20 Dalarna county","single women without children","30-49 years",226.8
"20 Dalarna county","single women without children","50-64 years",244.3
"20 Dalarna county","single men without children","18-29 years",196.8
"20 Dalarna county","single men without children","30-49 years",249.2
"20 Dalarna county","single men without children","50-64 years",260.0
"20 Dalarna county","single with children aged 0-19","18-29 years",231.3
"20 Dalarna county","single with children aged 0-19","30-49 years",314.6
"20 Dalarna county","single with children aged 0-19","50-64 years",347.7
"20 Dalarna county","single women with children aged 0-19","18-29 years",207.6
"20 Dalarna county","single women with children aged 0-19","30-49 years",304.6
"20 Dalarna county","single women with children aged 0-19","50-64 years",335.6
"20 Dalarna county","single men with children aged 0-19","18-29 years",373.4
"20 Dalarna county","single men with children aged 0-19","30-49 years",347.1
"20 Dalarna county","single men with children aged 0-19","50-64 years",367.7
"20 Dalarna county","single with adult children aged 20-29","18-29 years",433.0
"20 Dalarna county","single with adult children aged 20-29","30-49 years",424.4
"20 Dalarna county","single with adult children aged 20-29","50-64 years",441.9
"20 Dalarna county","single women with adult children aged 20-29","18-29 years",407.5
"20 Dalarna county","single women with adult children aged 20-29","30-49 years",406.9
"20 Dalarna county","single women with adult children aged 20-29","50-64 years",408.6
"20 Dalarna county","single men with adult children aged 20-29","18-29 years",442.1
"20 Dalarna county","single men with adult children aged 20-29","30-49 years",466.4
"20 Dalarna county","single men with adult children aged 20-29","50-64 years",501.6
"20 Dalarna county","cohabiting without children","18-29 years",429.0
"20 Dalarna county","cohabiting without children","30-49 years",522.5
"20 Dalarna county","cohabiting without children","50-64 years",572.8
"20 Dalarna county","cohabiting with children aged 0-19","18-29 years",439.5
"20 Dalarna county","cohabiting with children aged 0-19","30-49 years",599.7
"20 Dalarna county","cohabiting with children aged 0-19","50-64 years",680.7
"20 Dalarna county","cohabiting with adult children aged 20-29","18-29 years",873.3
"20 Dalarna county","cohabiting with adult children aged 20-29","30-49 years",731.8
"20 Dalarna county","cohabiting with adult children aged 20-29","50-64 years",770.2
"20 Dalarna county","other households without children","18-29 years",448.7
"20 Dalarna county","other households without children","30-49 years",528.5
"20 Dalarna county","other households without children","50-64 years",587.1
"20 Dalarna county","other households with children aged 0-19","18-29 years",552.0
"20 Dalarna county","other households with children aged 0-19","30-49 years",708.4
"20 Dalarna county","other households with children aged 0-19","50-64 years",757.5
"21 Gävleborg county","all households","18-29 years",297.8
"21 Gävleborg county","all households","30-49 years",462.1
"21 Gävleborg county","all households","50-64 years",480.1
"21 Gävleborg county","single without children","18-29 years",184.8
"21 Gävleborg county","single without children","30-49 years",239.2
"21 Gävleborg county","single without children","50-64 years",248.8
"21 Gävleborg county","single women without children","18-29 years",172.4
"21 Gävleborg county","single women without children","30-49 years",225.0
"21 Gävleborg county","single women without children","50-64 years",237.1
"21 Gävleborg county","single men without children","18-29 years",192.8
"21 Gävleborg county","single men without children","30-49 years",245.6
"21 Gävleborg county","single men without children","50-64 years",258.5
"21 Gävleborg county","single with children aged 0-19","18-29 years",222.9
"21 Gävleborg county","single with children aged 0-19","30-49 years",304.7
"21 Gävleborg county","single with children aged 0-19","50-64 years",337.2
"21 Gävleborg county","single women with children aged 0-19","18-29 years",204.2
"21 Gävleborg county","single women with children aged 0-19","30-49 years",296.0
"21 Gävleborg county","single women with children aged 0-19","50-64 years",328.7
"21 Gävleborg county","single men with children aged 0-19","18-29 years",360.4
"21 Gävleborg county","single men with children aged 0-19","30-49 years",335.0
"21 Gävleborg county","single men with children aged 0-19","50-64 years",353.5
"21 Gävleborg county","single with adult children aged 20-29","18-29 years",409.5
"21 Gävleborg county","single with adult children aged 20-29","30-49 years",391.9
"21 Gävleborg county","single with adult children aged 20-29","50-64 years",416.4
"21 Gävleborg county","single women with adult children aged 20-29","18-29 years",353.5
"21 Gävleborg county","single women with adult children aged 20-29","30-49 years",376.6
"21 Gävleborg county","single women with adult children aged 20-29","50-64 years",401.5
"21 Gävleborg county","single men with adult children aged 20-29","18-29 years",431.2
"21 Gävleborg county","single men with adult children aged 20-29","30-49 years",430.4
"21 Gävleborg county","single men with adult children aged 20-29","50-64 years",445.2
"21 Gävleborg county","cohabiting without children","18-29 years",423.4
"21 Gävleborg county","cohabiting without children","30-49 years",521.7
"21 Gävleborg county","cohabiting without children","50-64 years",587.2
"21 Gävleborg county","cohabiting with children aged 0-19","18-29 years",440.8
"21 Gävleborg county","cohabiting with children aged 0-19","30-49 years",595.3
"21 Gävleborg county","cohabiting with children aged 0-19","50-64 years",689.7
"21 Gävleborg county","cohabiting with adult children aged 20-29","18-29 years",728.4
"21 Gävleborg county","cohabiting with adult children aged 20-29","30-49 years",753.2
"21 Gävleborg county","cohabiting with adult children aged 20-29","50-64 years",787.5
"21 Gävleborg county","other households without children","18-29 years",452.3
"21 Gävleborg county","other households without children","30-49 years",523.0
"21 Gävleborg county","other households without children","50-64 years",591.0
"21 Gävleborg county","other households with children aged 0-19","18-29 years",530.2
"21 Gävleborg county","other households with children aged 0-19","30-49 years",708.1
"21 Gävleborg county","other households with children aged 0-19","50-64 years",751.1
"22 Västernorrland county","all households","18-29 years",303.6
"22 Västernorrland county","all households","30-49 years",477.2
"22 Västernorrland county","all households","50-64 years",488.7
"22 Västernorrland county","single without children","18-29 years",185.9
"22 Västernorrland county","single without children","30-49 years",240.2
"22 Västernorrland county","single without children","50-64 years",251.1
"22 Västernorrland county","single women without children","18-29 years",175.9
"22 Västernorrland county","single women without children","30-49 years",227.6
"22 Västernorrland county","single women without children","50-64 years",241.3
"22 Västernorrland county","single men without children","18-29 years",192.3
"22 Västernorrland county","single men without children","30-49 years",246.0
"22 Västernorrland county","single men without children","50-64 years",259.3
"22 Västernorrland county","single with children aged 0-19","18-29 years",239.0
"22 Västernorrland county","single with children aged 0-19","30-49 years",317.8
"22 Västernorrland county","single with children aged 0-19","50-64 years",380.9
"22 Västernorrland county","single women with children aged 0-19","18-29 years",208.2
"22 Västernorrland county","single women with children aged 0-19","30-49 years",304.5
"22 Västernorrland county","single women with children aged 0-19","50-64 years",347.1
"22 Västernorrland county","single men with children aged 0-19","18-29 years",451.2
"22 Västernorrland county","single men with children aged 0-19","30-49 years",357.0
"22 Västernorrland county","single men with children aged 0-19","50-64 years",439.5
"22 Västernorrland county","single with adult children aged 20-29","18-29 years",434.5
"22 Västernorrland county","single with adult children aged 20-29","30-49 years",451.5
"22 Västernorrland county","single with adult children aged 20-29","50-64 years",437.2
"22 Västernorrland county","single women with adult children aged 20-29","18-29 years",395.4
"22 Västernorrland county","single women with adult children aged 20-29","30-49 years",415.8
"22 Västernorrland county","single women with adult children aged 20-29","50-64 years",411.2
"22 Västernorrland county","single men with adult children aged 20-29","18-29 years",451.2
"22 Västernorrland county","single men with adult children aged 20-29","30-49 years",559.7
"22 Västernorrland county","single men with adult children aged 20-29","50-64 years",480.8
"22 Västernorrland county","cohabiting without children","18-29 years",433.4
"22 Västernorrland county","cohabiting without children","30-49 years",525.0
"22 Västernorrland county","cohabiting without children","50-64 years",575.0
"22 Västernorrland county","cohabiting with children aged 0-19","18-29 years",429.9
"22 Västernorrland county","cohabiting with children aged 0-19","30-49 years",609.6
"22 Västernorrland county","cohabiting with children aged 0-19","50-64 years",704.7
"22 Västernorrland county","cohabiting with adult children aged 20-29","18-29 years",764.7
"22 Västernorrland county","cohabiting with adult children aged 20-29","30-49 years",753.2
"22 Västernorrland county","cohabiting with adult children aged 20-29","50-64 years",781.0
"22 Västernorrland county","other households without children","18-29 years",455.3
"22 Västernorrland county","other households without children","30-49 years",536.1
"22 Västernorrland county","other households without children","50-64 years",588.2
"22 Västernorrland county","other households with children aged 0-19","18-29 years",593.9
"22 Västernorrland county","other households with children aged 0-19","30-49 years",723.4
"22 Västernorrland county","other households with children aged 0-19","50-64 years",791.3
"23 Jämtland county","all households","18-29 years",293.0
"23 Jämtland county","all households","30-49 years",468.7
"23 Jämtland county","all households","50-64 years",474.5
"23 Jämtland county","single without children","18-29 years",179.1
"23 Jämtland county","single without children","30-49 years",237.7
"23 Jämtland county","single without children","50-64 years",244.2
"23 Jämtland county","single women without children","18-29 years",173.1
"23 Jämtland county","single women without children","30-49 years",240.7
"23 Jämtland county","single women without children","50-64 years",241.6
"23 Jämtland county","single men without children","18-29 years",183.7
"23 Jämtland county","single men without children","30-49 years",236.2
"23 Jämtland county","single men without children","50-64 years",246.3
"23 Jämtland county","single with children aged 0-19","18-29 years",226.5
"23 Jämtland county","single with children aged 0-19","30-49 years",309.6
"23 Jämtland county","single with children aged 0-19","50-64 years",366.6
"23 Jämtland county","single women with children aged 0-19","18-29 years",204.1
"23 Jämtland county","single women with children aged 0-19","30-49 years",301.7
"23 Jämtland county","single women with children aged 0-19","50-64 years",366.8
"23 Jämtland county","single men with children aged 0-19","18-29 years",316.4
"23 Jämtland county","single men with children aged 0-19","30-49 years",331.5
"23 Jämtland county","single men with children aged 0-19","50-64 years",366.3
"23 Jämtland county","single with adult children aged 20-29","18-29 years",462.6
"23 Jämtland county","single with adult children aged 20-29","30-49 years",431.0
"23 Jämtland county","single with adult children aged 20-29","50-64 years",476.8
"23 Jämtland county","single women with adult children aged 20-29","18-29 years",417.1
"23 Jämtland county","single women with adult children aged 20-29","30-49 years",415.3
"23 Jämtland county","single women with adult children aged 20-29","50-64 years",464.6
"23 Jämtland county","single men with adult children aged 20-29","18-29 years",475.8
"23 Jämtland county","single men with adult children aged 20-29","30-49 years",466.2
"23 Jämtland county","single men with adult children aged 20-29","50-64 years",497.8
"23 Jämtland county","cohabiting without children","18-29 years",407.3
"23 Jämtland county","cohabiting without children","30-49 years",502.9
"23 Jämtland county","cohabiting without children","50-64 years",563.3
"23 Jämtland county","cohabiting with children aged 0-19","18-29 years",429.9
"23 Jämtland county","cohabiting with children aged 0-19","30-49 years",610.4
"23 Jämtland county","cohabiting with children aged 0-19","50-64 years",716.5
"23 Jämtland county","cohabiting with adult children aged 20-29","18-29 years",781.4
"23 Jämtland county","cohabiting with adult children aged 20-29","30-49 years",794.8
"23 Jämtland county","cohabiting with adult children aged 20-29","50-64 years",762.7
"23 Jämtland county","other households without children","18-29 years",446.6
"23 Jämtland county","other households without children","30-49 years",520.0
"23 Jämtland county","other households without children","50-64 years",579.9
"23 Jämtland county","other households with children aged 0-19","18-29 years",535.5
"23 Jämtland county","other households with children aged 0-19","30-49 years",721.0
"23 Jämtland county","other households with children aged 0-19","50-64 years",781.2
"24 Västerbotten county","all households","18-29 years",281.2
"24 Västerbotten county","all households","30-49 years",478.9
"24 Västerbotten county","all households","50-64 years",511.9
"24 Västerbotten county","single without children","18-29 years",173.9
"24 Västerbotten county","single without children","30-49 years",239.4
"24 Västerbotten county","single without children","50-64 years",258.0
"24 Västerbotten county","single women without children","18-29 years",163.6
"24 Västerbotten county","single women without children","30-49 years",225.1
"24 Västerbotten county","single women without children","50-64 years",247.0
"24 Västerbotten county","single men without children","18-29 years",181.7
"24 Västerbotten county","single men without children","30-49 years",246.3
"24 Västerbotten county","single men without children","50-64 years",267.4
"24 Västerbotten county","single with children aged 0-19","18-29 years",237.9
"24 Västerbotten county","single with children aged 0-19","30-49 years",317.9
"24 Västerbotten county","single with children aged 0-19","50-64 years",370.9
"24 Västerbotten county","single women with children aged 0-19","18-29 years",199.8
"24 Västerbotten county","single women with children aged 0-19","30-49 years",308.9
"24 Västerbotten county","single women with children aged 0-19","50-64 years",350.8
"24 Västerbotten county","single men with children aged 0-19","18-29 years",423.9
"24 Västerbotten county","single men with children aged 0-19","30-49 years",344.1
"24 Västerbotten county","single men with children aged 0-19","50-64 years",398.6
"24 Västerbotten county","single with adult children aged 20-29","18-29 years",418.4
"24 Västerbotten county","single with adult children aged 20-29","30-49 years",415.1
"24 Västerbotten county","single with adult children aged 20-29","50-64 years",440.2
"24 Västerbotten county","single women with adult children aged 20-29","18-29 years",426.1
"24 Västerbotten county","single women with adult children aged 20-29","30-49 years",415.1
"24 Västerbotten county","single women with adult children aged 20-29","50-64 years",419.8
"24 Västerbotten county","single men with adult children aged 20-29","18-29 years",415.9
"24 Västerbotten county","single men with adult children aged 20-29","30-49 years",415.2
"24 Västerbotten county","single men with adult children aged 20-29","50-64 years",476.9
"24 Västerbotten county","cohabiting without children","18-29 years",400.9
"24 Västerbotten county","cohabiting without children","30-49 years",515.2
"24 Västerbotten county","cohabiting without children","50-64 years",590.7
"24 Västerbotten county","cohabiting with children aged 0-19","18-29 years",453.3
"24 Västerbotten county","cohabiting with children aged 0-19","30-49 years",609.8
"24 Västerbotten county","cohabiting with children aged 0-19","50-64 years",708.2
"24 Västerbotten county","cohabiting with adult children aged 20-29","18-29 years",759.9
"24 Västerbotten county","cohabiting with adult children aged 20-29","30-49 years",760.9
"24 Västerbotten county","cohabiting with adult children aged 20-29","50-64 years",803.1
"24 Västerbotten county","other households without children","18-29 years",412.0
"24 Västerbotten county","other households without children","30-49 years",548.8
"24 Västerbotten county","other households without children","50-64 years",657.5
"24 Västerbotten county","other households with children aged 0-19","18-29 years",548.2
"24 Västerbotten county","other households with children aged 0-19","30-49 years",755.4
"24 Västerbotten county","other households with children aged 0-19","50-64 years",795.0
"25 Norrbotten county","all households","18-29 years",317.1
"25 Norrbotten county","all households","30-49 years",487.3
"25 Norrbotten county","all households","50-64 years",495.6
"25 Norrbotten county","single without children","18-29 years",194.9
"25 Norrbotten county","single without children","30-49 years",249.6
"25 Norrbotten county","single without children","50-64 years",253.7
"25 Norrbotten county","single women without children","18-29 years",182.1
"25 Norrbotten county","single women without children","30-49 years",232.6
"25 Norrbotten county","single women without children","50-64 years",244.6
"25 Norrbotten county","single men without children","18-29 years",201.8
"25 Norrbotten county","single men without children","30-49 years",257.1
"25 Norrbotten county","single men without children","50-64 years",260.9
"25 Norrbotten county","single with children aged 0-19","18-29 years",243.0
"25 Norrbotten county","single with children aged 0-19","30-49 years",328.7
"25 Norrbotten county","single with children aged 0-19","50-64 years",383.3
"25 Norrbotten county","single women with children aged 0-19","18-29 years",214.7
"25 Norrbotten county","single women with children aged 0-19","30-49 years",315.4
"25 Norrbotten county","single women with children aged 0-19","50-64 years",370.5
"25 Norrbotten county","single men with children aged 0-19","18-29 years",384.7
"25 Norrbotten county","single men with children aged 0-19","30-49 years",364.2
"25 Norrbotten county","single men with children aged 0-19","50-64 years",403.6
"25 Norrbotten county","single with adult children aged 20-29","18-29 years",478.6
"25 Norrbotten county","single with adult children aged 20-29","30-49 years",429.5
"25 Norrbotten county","single with adult children aged 20-29","50-64 years",466.7
"25 Norrbotten county","single women with adult children aged 20-29","18-29 years",408.4
"25 Norrbotten county","single women with adult children aged 20-29","30-49 years",406.3
"25 Norrbotten county","single women with adult children aged 20-29","50-64 years",416.2
"25 Norrbotten county","single men with adult children aged 20-29","18-29 years",505.2
"25 Norrbotten county","single men with adult children aged 20-29","30-49 years",488.5
"25 Norrbotten county","single men with adult children aged 20-29","50-64 years",551.1
"25 Norrbotten county","cohabiting without children","18-29 years",438.9
"25 Norrbotten county","cohabiting without children","30-49 years",546.9
"25 Norrbotten county","cohabiting without children","50-64 years",578.1
"25 Norrbotten county","cohabiting with children aged 0-19","18-29 years",489.2
"25 Norrbotten county","cohabiting with children aged 0-19","30-49 years",621.9
"25 Norrbotten county","cohabiting with children aged 0-19","50-64 years",712.5
"25 Norrbotten county","cohabiting with adult children aged 20-29","18-29 years",853.0
"25 Norrbotten county","cohabiting with adult children aged 20-29","30-49 years",765.1
"25 Norrbotten county","cohabiting with adult children aged 20-29","50-64 years",801.2
"25 Norrbotten county","other households without children","18-29 years",473.9
"25 Norrbotten county","other households without children","30-49 years",573.5
"25 Norrbotten county","other households without children","50-64 years",602.6
"25 Norrbotten county","other households with children aged 0-19","18-29 years",583.3
"25 Norrbotten county","other households with children aged 0-19","30-49 years",742.3
"25 Norrbotten county","other households with children aged 0-19","50-64 years",853.2
